Price Date,Open Price,High Price,Low Price,Close Price,Traded Value,Number Of Trades,Traded Quantity
25-03-2014,3248,3279.7,3246,3254.4,3077903656,77162,943508
24-03-2014,3272.2,3318.45,3270,3275.8,3346904364,94384,1020043
22-03-2014,3294,3313.8,3281.2,3296.05,170417244.2,3151,51669
21-03-2014,3330,3338,3270.5,3305.65,5107797720,76457,1547540
20-03-2014,3270,3349.5,3270,3303.05,3324587291,57561,1002879
19-03-2014,3350,3357.85,3238.75,3271.75,6453064649,143832,1972231
18-03-2014,3400,3411.9,3340,3350.55,4976424868,104770,1475539
14-03-2014,3340,3403.9,3335.05,3394.15,4721627215,95242,1395943
13-03-2014,3420,3439.9,3340,3357.6,17261392183,256451,5098860
12-03-2014,3673.4,3703.35,3652,3671.3,1807558197,45369,492513
11-03-2014,3653,3708.9,3631.05,3675.35,1895936687,35319,515534
10-03-2014,3729.7,3729.7,3645.3,3671.6,3411673946,64998,929059
07-03-2014,3827,3834,3708.3,3740.3,7068894064,99935,1884093
06-03-2014,3838,3849.95,3817.35,3831.9,2980613527,65047,778289
05-03-2014,3827.9,3844.4,3809.9,3821.7,2365776020,48641,617938
04-03-2014,3770,3824.45,3761.9,3799.55,3294424418,49982,867239
03-03-2014,3825,3849.95,3791.95,3798.25,3433492207,55090,900522
28-02-2014,3761.1,3837.15,3761.1,3824.85,4689238737,76621,1229937
26-02-2014,3780,3817.8,3772.1,3807.5,3492666508,48908,919021
25-02-2014,3755,3792.1,3755,3782.9,3829772494,33909,1012439
24-02-2014,3746,3753.7,3730,3749.9,2040472153,38487,544701
21-02-2014,3736,3755.4,3727.25,3750.7,2580864425,61267,689748
20-02-2014,3744.9,3744.9,3706,3711.25,4102736413,26707,1102106
19-02-2014,3695.65,3762,3695.1,3753.4,3297849882,58699,883038
18-02-2014,3647,3694.6,3647,3682,2287609486,16735,622280
17-02-2014,3685,3685,3648.85,3658.15,6219188039,36332,1696240
14-02-2014,3615.55,3664,3603.25,3644.3,2703634556,59800,745271
13-02-2014,3604.8,3617.95,3580.05,3585.8,1611730573,23430,448540
12-02-2014,3600.5,3627.45,3593.2,3600.1,1898697518,31693,526089
11-02-2014,3584,3622,3573.5,3596.25,2624835041,32700,729199
10-02-2014,3579.9,3586,3557.5,3573.8,2701617778,50814,756178
07-02-2014,3587,3601.85,3548.85,3566.55,3383061498,74043,943932
06-02-2014,3572,3583,3541,3563.7,2557783010,56963,718738
05-02-2014,3580,3589,3542.75,3581.25,1929840250,37096,540874
04-02-2014,3581,3591.95,3546.55,3561.1,2021644292,37361,566889
03-02-2014,3685,3692,3624.8,3629.15,1995964029,27647,548014
31-01-2014,3700,3739.75,3686.55,3701.1,2495628289,33186,671241
30-01-2014,3703.7,3716.7,3660,3704.25,3312964929,57064,897954
29-01-2014,3666,3743.7,3653.65,3717.8,3756012545,48870,1012760
28-01-2014,3707,3708.7,3666.85,3675.1,6496073289,81381,1763568
27-01-2014,3720,3763.9,3711.2,3732.2,3785379767,51163,1012381
24-01-2014,3765,3796.95,3754.7,3758.15,3243427784,58213,859573
23-01-2014,3784.1,3799,3760.85,3792.5,3736441660,90117,988418
22-01-2014,3741.2,3778,3740.05,3765.9,3184713955,81973,846220
21-01-2014,3750,3770,3718.35,3758.35,5665601042,51076,1512808
20-01-2014,3712,3759.95,3704.45,3749.3,4555251904,77103,1220243
17-01-2014,3729,3764.65,3720,3729.75,12024653127,95916,3208487
16-01-2014,3699,3737.45,3693.65,3725.05,8190777827,96512,2201029
15-01-2014,3695.3,3724.35,3681,3712.05,7938093291,130924,2141268
14-01-2014,3645,3695,3640.45,3686.75,3404948215,59808,928229
13-01-2014,3582,3675,3582,3665,7833521978,132647,2139989
10-01-2014,3490,3575,3448,3551.25,13367759100,190570,3782272
09-01-2014,3440,3482,3417.85,3450.8,5435659118,122460,1573851
08-01-2014,3461,3475,3421,3428.1,3862550701,94416,1123799
07-01-2014,3519.05,3525.9,3446.7,3457.15,3353983327,66664,964211
06-01-2014,3575.1,3580.5,3468.6,3517.9,4883727082,79022,1387291
03-01-2014,3475,3575,3454.25,3565.15,4445389364,74223,1255793
02-01-2014,3463.25,3508,3463.25,3480.55,1917898709,28599,550593
01-01-2014,3492,3499,3462.05,3468,642063885.4,11876,184836
31-12-2013,3500,3521.7,3480.25,3485.65,1566839587,22495,448851
30-12-2013,3567.7,3575,3475,3502.35,5198245165,59721,1482929
27-12-2013,3530,3572,3529.95,3561.3,3286067252,64334,922758
26-12-2013,3487,3534.4,3483.75,3520.65,3015388362,32059,858741
24-12-2013,3486,3502.9,3466.1,3486.4,3097016985,44515,888739
23-12-2013,3500,3539.9,3460.55,3468.45,3852245048,85770,1105738
20-12-2013,3525,3573,3508.4,3551.35,3843575283,70717,1085682
19-12-2013,3462.5,3544.95,3455,3512.25,3216722329,65314,916432
18-12-2013,3450,3473.75,3447.5,3457.45,3971006289,65090,1147918
17-12-2013,3445.1,3484.9,3445.1,3456.35,4638836499,55887,1339244
16-12-2013,3380,3464,3353.8,3452.25,4355308583,66479,1264712
13-12-2013,3345,3380,3345,3373.85,3498112557,54225,1039453
12-12-2013,3364.4,3385.7,3348,3363.85,2322641176,76808,690029
11-12-2013,3365,3381.7,3340,3374.35,2629863774,40077,782120
10-12-2013,3335,3389.85,3331.55,3370.85,5200023792,70004,1543237
09-12-2013,3365,3384.05,3321.05,3338.8,3697486848,57190,1107079
06-12-2013,3339.05,3349,3318.2,3325.8,2723783647,56656,818106
